modelo,cv_f1_mean,cv_f1_std,best_params,tempo_segundos,accuracy,precision,recall,f1,roc_auc
Regressão Logística,0.8607090050875449,0.012845842952749034,parâmetros padrão documentados,0.4400657080000201,0.8737864077669902,0.8625766871165644,0.8944020356234097,0.8782011242973142,0.9454099575241294
HistGradientBoosting,0.8540508518319327,0.011904695842679312,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",82.3729667079997,0.858252427184466,0.8584070796460177,0.8638676844783715,0.8611287254280279,0.9361487426538869
Random Forest,0.8349096924956427,0.008462053514513627,"{""model__max_depth"": 18, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 350}",195.46956262499998,0.8310679611650486,0.8236744759556104,0.8498727735368957,0.8365685660613651,0.9201356411777917
