CO_CURSO,y_true,y_pred,y_proba
1163515,0,0,0.0059098548999072424
86701,0,0,0.2463915067821502
107907,0,0,0.26958636594736674
20522,1,1,0.969619833125622
1354118,0,0,0.3763502110020142
1404808,0,0,0.03268518987127926
19970,1,1,0.9868776414989523
1160515,0,0,0.0010240735637829961
43581,1,1,0.9368652692088241
90430,1,1,0.9137819210759909
1349428,0,0,0.003638443993714647
12561,1,1,0.6486525169886738
44664,0,0,0.3685177887722117
18467,1,1,0.9681248264271689
90020,0,1,0.9123998974729691
1259806,0,0,0.0856498023669044
1322289,0,0,0.12058228265381012
13597,1,1,0.892843576399577
83486,1,1,0.999210488371026
93392,1,1,0.8529035557497356
5000420,1,1,0.6229855516168893
1300254,0,1,0.6968811116062431
43621,1,0,0.2946273043491603
1115483,0,0,0.019399693691847984
1299953,0,0,0.11931787132771786
1119204,0,0,0.030602205144043083
1303509,0,0,0.40738070055546177
19389,1,1,0.7136676370382544
1452844,1,1,0.9948593563333193
1313156,0,0,0.2710376631487988
1279137,1,1,0.7413498986724548
1175630,0,0,0.066928522451037
14094,1,1,0.9904595546158289
16825,1,1,0.7466094481540013
1536441,0,0,0.02863618356772974
1404676,1,1,0.8655496676990467
69169,1,1,0.9812967205427207
1069344,0,0,0.006865351423666758
512,1,1,0.7576622331062203
110270,0,0,0.01019691222676972
102403,0,1,0.582943906205024
1442601,0,0,0.12766810120012995
80107,0,0,0.02402923445466731
1443169,1,0,0.3506352900917908
12942,1,1,0.999960749950967
1156246,1,1,0.870327608634709
12575,1,1,0.9561706666032386
1170490,0,0,0.36933790478794126
1333718,0,0,0.1138230511209412
48211,1,1,0.9834190749985418
1199184,1,1,0.9564551782422368
85638,0,0,0.013005848719906765
1533165,0,0,0.029044551427240467
5001378,1,0,0.08552838879488465
14508,1,1,0.9869619875357434
1420109,1,1,0.9704262367621543
1306232,0,0,0.09280063538761349
49322,0,0,0.040741043374918705
1151797,0,0,0.027930148429610665
1409835,1,1,0.5138127432299996
26021,0,0,0.37518612085353087
88514,0,1,0.7236849347150619
2298,1,1,0.947126696910998
4938,0,0,0.0008231846800020283
1258111,1,1,0.5847493067310299
1192237,1,1,0.9977332714523232
15350,0,0,0.035552285176116735
1483991,0,0,0.4929776742010945
1118104,0,0,0.11869079699525656
1258994,0,1,0.5898181087942518
90859,0,0,0.09376975822553456
108696,1,1,0.6320044624138573
67523,0,0,0.0032048583430882814
99851,0,0,0.36743226250841693
1193761,0,0,0.40042857085828404
1259916,0,0,0.07431675538256154
1269544,0,0,0.3631713620844977
1133610,1,1,0.867916673066165
1163805,1,1,0.9931487364710754
1511,0,0,0.04667102785462224
122450,1,1,0.9983445244550764
50478,1,1,0.928575274241515
5000515,1,1,0.8447231872202509
36133,0,0,0.0043600807770583045
29446,1,0,0.36268148788438953
91561,1,1,0.7449452920521897
1168059,1,1,0.5374467708773206
304,1,1,0.9880860112167487
5844,0,0,0.02024709712665487
15345,0,1,0.798297439338753
5496,1,1,0.8977708696319933
94325,0,0,0.1862712771149327
1350783,1,1,0.8700443116775941
1188416,0,0,0.032057600011219906
51458,0,0,0.49512474384613997
48229,1,1,0.7227663618396999
1259237,0,0,0.0009342630987539689
60034,0,0,0.010335874011812051
92521,1,1,0.9981587543394715
4585,1,1,0.955407621259886
10594,1,1,0.929683468634547
12694,1,1,0.9967921903642368
14703,1,1,0.9925189976935122
1259187,1,1,0.8844873768728222
1148742,0,0,0.13889324269921646
51587,1,1,0.597848760243697
1386125,0,1,0.5764170418782079
1156014,0,0,0.012442762005872365
1404305,1,1,0.7709373822344995
1115405,0,0,0.017082535585508596
1349567,0,0,0.008559627392679518
1158795,0,0,0.011127328155933239
150317,0,0,0.055714175943201424
1146576,1,1,0.7038070213143117
1330470,0,0,0.0001887966770039303
